product,productName,description,price,currency_code
HT-4821,Wireless Headphones,High-quality wireless headphones with noise cancellation,199.99,USD
HT-7394,Mechanical Keyboard,RGB mechanical keyboard with tactile switches,129.99,USD
HT-1057,USB-C Hub,7-in-1 USB-C hub with HDMI and SD card reader,49.99,USD
HT-8642,Gaming Mouse,Ergonomic gaming mouse with 16000 DPI sensor,79.99,USD
HT-2910,Monitor 27inch,4K UHD IPS monitor with HDR support,399.99,USD
HT-5578,Laptop Stand,Adjustable aluminum laptop stand for desks,39.99,EUR
HT-9136,Webcam HD,1080p full HD webcam with built-in microphone,69.99,USD
HT-3445,Desk Lamp,LED desk lamp with wireless charging base,59.99,EUR
HT-6702,External SSD,1TB portable external SSD USB 3.2,109.99,USD
HT-1289,Smart Speaker,Voice-controlled smart speaker with 360 sound,149.99,USD
HT-4063,Cable Organizer,Desktop cable management organizer set,19.99,USD
HT-9951,Bluetooth Adapter,USB Bluetooth 5.0 adapter for PC,14.99,CAD
HT-2304,Graphic Tablet,Digital drawing tablet with stylus pen,89.99,USD
HT-7815,Chair Cushion,Ergonomic memory foam chair cushion,34.99,USD
HT-6197,Microphone,Condenser USB microphone for streaming,99.99,USD
HT-0528,Power Strip,6-outlet surge protector power strip,29.99,GBP
HT-8470,Smartwatch,Fitness smartwatch with heart rate monitor,249.99,USD
HT-3659,Portable Charger,20000mAh portable power bank fast charge,44.99,GBP
HT-7142,Network Switch,8-port gigabit ethernet network switch,49.99,USD
HT-1906,Thermal Paste,High-performance CPU thermal compound 5g,9.99,USD